date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:25	255127/255127	---M-Z	200	added ('OK')	text/html	etag:%223e497-609da62c84edc-gzip%22	https://www.accenture.com/us-en/insights/blockchain-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insights/blockchain-index.html	(from https://www.accenture.com/us-en)
12:47:25	249699/249699	---M-Z	200	added ('OK')	text/html	etag:%223cf63-609d84c845f72-gzip%22	https://www.accenture.com/us-en/insights/cloud-insights	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insights/cloud-insights.html	(from https://www.accenture.com/us-en)
12:47:25	264930/264930	---M-Z	200	added ('OK')	text/html	etag:%2240ae2-609d8e7828c39-gzip%22	https://www.accenture.com/us-en/insights/song/customer-experience-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insights/song/customer-experience-index.html	(from https://www.accenture.com/us-en)
12:47:27	264813/264813	---M-Z	200	added ('OK')	text/html	etag:W/%2240a6d-609db3aa6cd93-gzip%22	https://www.accenture.com/us-en/insights/cyber-security-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insights/cyber-security-index.html	(from https://www.accenture.com/us-en)
12:47:29	237866/237866	---M-Z	200	added ('OK')	text/html	etag:W/%223a12a-609db3ac1cdfb-gzip%22	https://www.accenture.com/us-en/insights/industry-x-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insights/industry-x-index.html	(from https://www.accenture.com/us-en)
12:47:29	252441/252441	---M-Z	200	added ('OK')	text/html	etag:W/%223da19-609db0eb61b2c-gzip%22	https://www.accenture.com/us-en/insights/digital-transformation-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insights/digital-transformation-index.html	(from https://www.accenture.com/us-en)
12:47:29	250881/250881	---M-Z	200	added ('OK')	text/html	etag:%223d401-609d851e6a18b-gzip%22	https://www.accenture.com/us-en/insights/cloud/edge-computing-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insights/cloud/edge-computing-index.html	(from https://www.accenture.com/us-en)
12:47:30	275037/275037	---M-Z	200	added ('OK')	text/html	etag:%224325d-609d86be4952d-gzip%22	https://www.accenture.com/us-en/insightsnew/future-workforce-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insightsnew/future-workforce-index.html	(from https://www.accenture.com/us-en)
12:47:30	223830/223830	---M-Z	200	added ('OK')	text/html	etag:%2236a56-609dad6e0cf1a-gzip%22	https://www.accenture.com/us-en/insights/generative-ai	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insights/generative-ai.html	(from https://www.accenture.com/us-en)
12:47:32	239704/239704	---M-Z	200	added ('OK')	text/html	etag:W/%223a858-609db3aedf5e1-gzip%22	https://www.accenture.com/us-en/insights/metaverse	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insights/metaverse.html	(from https://www.accenture.com/us-en)
12:47:32	345327/345327	---M-Z	200	added ('OK')	text/html	etag:%22544ef-609d8832c0948-gzip%22	https://www.accenture.com/us-en/insights/supply-chain-operations/supply-chain-management-operations-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insights/supply-chain-operations/supply-chain-management-operations-index.html	(from https://www.accenture.com/us-en)
12:47:34	203793/203793	---M-Z	200	added ('OK')	text/html	etag:W/%2231c11-609db3b0b52ac-gzip%22	https://www.accenture.com/us-en/insights/consulting/sustainability-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insights/consulting/sustainability-index.html	(from https://www.accenture.com/us-en)
12:47:34	216100/216100	---M-Z	200	added ('OK')	text/html	etag:%2234c24-609d9d189e293-gzip%22	https://www.accenture.com/us-en/insights/podcast-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insights/podcast-index.html	(from https://www.accenture.com/us-en)
12:47:34	220888/220888	---M-Z	200	added ('OK')	text/html	etag:%2235ed8-609d9656d086c-gzip%22	https://www.accenture.com/us-en/insights/blogs-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/insights/blogs-index.html	(from https://www.accenture.com/us-en)
12:47:35	214671/214671	---M-Z	200	added ('OK')	text/html	etag:%223468f-609d889c1eaff-gzip%22	https://www.accenture.com/us-en/services/technology/application-services	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/technology/application-services.html	(from https://www.accenture.com/us-en)
12:47:35	317416/317416	---M-Z	200	added ('OK')	text/html	etag:%224d7e8-609d82678b021-gzip%22	https://www.accenture.com/us-en/services/ai-artificial-intelligence-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/ai-artificial-intelligence-index.html	(from https://www.accenture.com/us-en)
12:47:37	295957/295957	---M-Z	200	added ('OK')	text/html	etag:W/%2248415-609db3b3b20e9-gzip%22	https://www.accenture.com/us-en/services/intelligent-automation-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/intelligent-automation-index.html	(from https://www.accenture.com/us-en)
12:47:37	252467/252467	---M-Z	200	added ('OK')	text/html	etag:%223da33-609da40e2731f-gzip%22	https://www.accenture.com/us-en/services/business-process-outsourcing-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/business-process-outsourcing-index.html	(from https://www.accenture.com/us-en)
12:47:38	304438/304438	---M-Z	200	added ('OK')	text/html	etag:%224a536-609d8289f31e9-gzip%22	https://www.accenture.com/us-en/about/strategy-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/about/strategy-index.html	(from https://www.accenture.com/us-en)
12:47:41	374593/374593	---M-Z	200	added ('OK')	text/html	etag:W/%225b741-609db3b71bd74-gzip%22	https://www.accenture.com/us-en/services/talent-organization-human-potential-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/talent-organization-human-potential-index.html	(from https://www.accenture.com/us-en)
12:47:41	302190/302190	---M-Z	200	added ('OK')	text/html	etag:%2249c6e-609d8800bd5f1-gzip%22	https://www.accenture.com/us-en/cloud/services-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/cloud/services-index.html	(from https://www.accenture.com/us-en)
12:47:41	213019/213019	---M-Z	200	added ('OK')	text/html	etag:%223401b-609d9ee1e16db-gzip%22	https://www.accenture.com/us-en/about/song-company-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/about/song-company-index.html	(from https://www.accenture.com/us-en)
12:47:42	257069/257069	---M-Z	200	added ('OK')	text/html	etag:W/%223ec2d-609daffe27e1a-gzip%22	https://www.accenture.com/us-en/services/data-analytics-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/data-analytics-index.html	(from https://www.accenture.com/us-en)
12:47:42	248564/248564	---M-Z	200	added ('OK')	text/html	etag:%223caf4-609daba49e335-gzip%22	https://www.accenture.com/us-en/services/song/commerce-transformation	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/song/commerce-transformation.html	(from https://www.accenture.com/us-en)
12:47:43	427030/427030	---M-Z	200	added ('OK')	text/html	etag:%2268416-609dad1664552-gzip%22	https://www.accenture.com/us-en/services/digital-engineering-manufacturing-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/digital-engineering-manufacturing-index.html	(from https://www.accenture.com/us-en)
12:47:43	263785/263785	---M-Z	200	added ('OK')	text/html	etag:%2240669-609da322c36d4-gzip%22	https://www.accenture.com/us-en/services/technology/enterprise-industry-technologies	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/technology/enterprise-industry-technologies.html	(from https://www.accenture.com/us-en)
12:47:44	321115/321115	---M-Z	200	added ('OK')	text/html	etag:%224e65b-609d8997f37e2-gzip%22	https://www.accenture.com/us-en/services/cfo-and-enterprise-value-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/cfo-and-enterprise-value-index.html	(from https://www.accenture.com/us-en)
12:47:46	293782/293782	---M-Z	200	added ('OK')	text/html	etag:W/%2247b96-609db3bc534c2-gzip%22	https://www.accenture.com/us-en/cloud/services/infrastructure-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/cloud/services/infrastructure-index.html	(from https://www.accenture.com/us-en)
12:47:46	231833/231833	---M-Z	200	added ('OK')	text/html	etag:%2238999-609d857237865-gzip%22	https://www.accenture.com/us-en/services/song/marketing-transformation	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/song/marketing-transformation.html	(from https://www.accenture.com/us-en)
12:47:47	317155/317155	---M-Z	200	added ('OK')	text/html	etag:%224d6e3-609d8bf70f4f6-gzip%22	https://www.accenture.com/us-en/services/mergers-acquisitions-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/mergers-acquisitions-index.html	(from https://www.accenture.com/us-en)
12:47:47	324339/324339	---M-Z	200	added ('OK')	text/html	etag:%224f2f3-609d8f2db3a4e-gzip%22	https://www.accenture.com/us-en/services/metaverse-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/metaverse-index.html	(from https://www.accenture.com/us-en)
12:47:47	272149/272149	---M-Z	200	added ('OK')	text/html	etag:%2242715-609d8faacf324-gzip%22	https://www.accenture.com/us-en/services/talent-organization/future-organization	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/talent-organization/future-organization.html	(from https://www.accenture.com/us-en)
12:47:48	313258/313258	---M-Z	200	added ('OK')	text/html	etag:%224c7aa-609d83b0779d5-gzip%22	https://www.accenture.com/us-en/services/security-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/security-index.html	(from https://www.accenture.com/us-en)
12:47:48	418845/418845	---M-Z	200	added ('OK')	text/html	etag:%226641d-609d8b32f0e27-gzip%22	https://www.accenture.com/us-en/services/supply-chain-management-and-operations-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/supply-chain-management-and-operations-index.html	(from https://www.accenture.com/us-en)
12:47:48	387188/387188	---M-Z	200	added ('OK')	text/html	etag:%225e874-609da2651c112-gzip%22	https://www.accenture.com/us-en/services/sustainability-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/sustainability-index.html	(from https://www.accenture.com/us-en)
12:47:49	384663/384663	---M-Z	200	added ('OK')	text/html	etag:%225de97-609d86ae5bda2-gzip%22	https://www.accenture.com/us-en/services/consulting/technology-consulting	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/consulting/technology-consulting.html	(from https://www.accenture.com/us-en)
12:47:49	286589/286589	---M-Z	200	added ('OK')	text/html	etag:%2245f7d-609d898844a81-gzip%22	https://www.accenture.com/us-en/services/technology-innovation-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/technology-innovation-index.html	(from https://www.accenture.com/us-en)
12:47:49	256988/256988	---M-Z	200	added ('OK')	text/html	etag:%223ebdc-609d831c747ab-gzip%22	https://www.accenture.com/us-en/services/zero-based-budgeting-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/services/zero-based-budgeting-index.html	(from https://www.accenture.com/us-en)
12:47:52	302367/302367	---M-Z	200	added ('OK')	text/html	etag:W/%2249d1f-609db3c188248-gzip%22	https://www.accenture.com/us-en/industries/aerospace-defense-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/aerospace-defense-index.html	(from https://www.accenture.com/us-en)
12:47:52	297564/297564	---M-Z	200	added ('OK')	text/html	etag:%2248a5c-609d89f0eb671-gzip%22	https://www.accenture.com/us-en/industries/automotive-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/automotive-index.html	(from https://www.accenture.com/us-en)
